phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
after,https://agents.kujolang.ai/agents/newsletter-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/performance-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/planner/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/product-strategist/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/production-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/publisher/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/publishing-house/,1,258,38,6,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/publishing-operations-director/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/qa-lead/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/receipt-collector/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/release-verifier/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/research-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/risk-officer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/routine-worker/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/schema-auditor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/search-performance-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/search-submission-operator/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/search-web-standards-watch/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/security-reviewer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/seo-auditor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/site-qa-operator/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/sitrep-agent/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/social-community-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/spec-writer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/standards-evidence-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/systems-architect/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/technical-editor-writer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/technical-seo-auditor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/test-runner/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/tooling-developer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/trend-scout/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/triage-agent/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/video-audio-producer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/visual-qa-agent/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/webops/,1,258,43,6,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/webops-reporter/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/,0,169,96,6,false,false,0,0,true,
