phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,Publish the operating contract for the Cannibalization Analyst agent role.,Cannibalization Analyst agent,Informational and implementation-oriented,Cannibalization Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Cannibalization Analyst agent?; What inputs and outputs does Cannibalization Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/case-study-editor/,Publish the operating contract for the Case Study Editor agent role.,Case Study Editor agent,Informational and implementation-oriented,Case Study Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Case Study Editor agent?; What inputs and outputs does Case Study Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/chain-of-command/,Help readers browse and compare source-grounded agent roles.,Chain of Command,Informational and navigational,Chain of Command agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which chain of command role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/chief-of-staff/,Publish the operating contract for the Chief Of Staff agent role.,Chief Of Staff agent,Informational and implementation-oriented,Chief Of Staff AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Chief Of Staff agent?; What inputs and outputs does Chief Of Staff require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/code-reviewer/,Publish the operating contract for the Code Reviewer agent role.,Code Reviewer agent,Informational and implementation-oriented,Code Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Code Reviewer agent?; What inputs and outputs does Code Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/commissioning-editor/,Publish the operating contract for the Commissioning Editor agent role.,Commissioning Editor agent,Informational and implementation-oriented,Commissioning Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Commissioning Editor agent?; What inputs and outputs does Commissioning Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,Publish the operating contract for the Competitor Intelligence Analyst agent role.,Competitor Intelligence Analyst agent,Informational and implementation-oriented,Competitor Intelligence Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Competitor Intelligence Analyst agent?; What inputs and outputs does Competitor Intelligence Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,Publish the operating contract for the Content Accuracy Reviewer agent role.,Content Accuracy Reviewer agent,Informational and implementation-oriented,Content Accuracy Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Accuracy Reviewer agent?; What inputs and outputs does Content Accuracy Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-decay-analyst/,Publish the operating contract for the Content Decay Analyst agent role.,Content Decay Analyst agent,Informational and implementation-oriented,Content Decay Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Decay Analyst agent?; What inputs and outputs does Content Decay Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-gap-analyst/,Publish the operating contract for the Content Gap Analyst agent role.,Content Gap Analyst agent,Informational and implementation-oriented,Content Gap Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Gap Analyst agent?; What inputs and outputs does Content Gap Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,Publish the operating contract for the Content Portfolio Manager agent role.,Content Portfolio Manager agent,Informational and implementation-oriented,Content Portfolio Manager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Portfolio Manager agent?; What inputs and outputs does Content Portfolio Manager require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,Publish the operating contract for the Content Pruning Analyst agent role.,Content Pruning Analyst agent,Informational and implementation-oriented,Content Pruning Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Pruning Analyst agent?; What inputs and outputs does Content Pruning Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/context-packager/,Publish the operating contract for the Context Packager agent role.,Context Packager agent,Informational and implementation-oriented,Context Packager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Context Packager agent?; What inputs and outputs does Context Packager require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/copy-chief/,Publish the operating contract for the Copy Chief agent role.,Copy Chief agent,Informational and implementation-oriented,Copy Chief AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Copy Chief agent?; What inputs and outputs does Copy Chief require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/core-developer/,Publish the operating contract for the Core Developer agent role.,Core Developer agent,Informational and implementation-oriented,Core Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Core Developer agent?; What inputs and outputs does Core Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/creative-director/,Publish the operating contract for the Creative Director agent role.,Creative Director agent,Informational and implementation-oriented,Creative Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Creative Director agent?; What inputs and outputs does Creative Director require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/dependency-scanner/,Publish the operating contract for the Dependency Scanner agent role.,Dependency Scanner agent,Informational and implementation-oriented,Dependency Scanner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Dependency Scanner agent?; What inputs and outputs does Dependency Scanner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/developmental-editor/,Publish the operating contract for the Developmental Editor agent role.,Developmental Editor agent,Informational and implementation-oriented,Developmental Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Developmental Editor agent?; What inputs and outputs does Developmental Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,Publish the operating contract for the Director of Editorial Intelligence agent role.,Director of Editorial Intelligence agent,Informational and implementation-oriented,Director of Editorial Intelligence AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Director of Editorial Intelligence agent?; What inputs and outputs does Director of Editorial Intelligence require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/distribution-operator/,Publish the operating contract for the Distribution Operator agent role.,Distribution Operator agent,Informational and implementation-oriented,Distribution Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Distribution Operator agent?; What inputs and outputs does Distribution Operator require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/documentation-writer/,Publish the operating contract for the Documentation Writer agent role.,Documentation Writer agent,Informational and implementation-oriented,Documentation Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Documentation Writer agent?; What inputs and outputs does Documentation Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/editor-in-chief/,Publish the operating contract for the Editor-in-Chief agent role.,Editor-in-Chief agent,Informational and implementation-oriented,Editor-in-Chief AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Editor-in-Chief agent?; What inputs and outputs does Editor-in-Chief require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/editorial-strategy-director/,Publish the operating contract for the Editorial Strategy Director agent role.,Editorial Strategy Director agent,Informational and implementation-oriented,Editorial Strategy Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Editorial Strategy Director agent?; What inputs and outputs does Editorial Strategy Director require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/features-writer/,Publish the operating contract for the Features Writer agent role.,Features Writer agent,Informational and implementation-oriented,Features Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Features Writer agent?; What inputs and outputs does Features Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/franchise-adaptation-editor/,Publish the operating contract for the Franchise & Adaptation Editor agent role.,Franchise & Adaptation Editor agent,Informational and implementation-oriented,Franchise & Adaptation Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Franchise & Adaptation Editor agent?; What inputs and outputs does Franchise & Adaptation Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/frontend-developer/,Publish the operating contract for the Frontend Developer agent role.,Frontend Developer agent,Informational and implementation-oriented,Frontend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Frontend Developer agent?; What inputs and outputs does Frontend Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/general-commander/,Publish the operating contract for the General Commander agent role.,General Commander agent,Informational and implementation-oriented,General Commander AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a General Commander agent?; What inputs and outputs does General Commander require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/,Help readers browse and compare source-grounded agent roles.,Agents,Informational and navigational,Agents agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which agents role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/indexation-analyst/,Publish the operating contract for the Indexation Analyst agent role.,Indexation Analyst agent,Informational and implementation-oriented,Indexation Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Indexation Analyst agent?; What inputs and outputs does Indexation Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,Publish the operating contract for the Information Architecture Auditor agent role.,Information Architecture Auditor agent,Informational and implementation-oriented,Information Architecture Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Information Architecture Auditor agent?; What inputs and outputs does Information Architecture Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/integration-engineer/,Publish the operating contract for the Integration Engineer agent role.,Integration Engineer agent,Informational and implementation-oriented,Integration Engineer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Integration Engineer agent?; What inputs and outputs does Integration Engineer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/internal-link-specialist/,Publish the operating contract for the Internal Link Specialist agent role.,Internal Link Specialist agent,Informational and implementation-oriented,Internal Link Specialist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Internal Link Specialist agent?; What inputs and outputs does Internal Link Specialist require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Publish the operating contract for the Issue Hygiene Worker agent role.,Issue Hygiene Worker agent,Informational and implementation-oriented,Issue Hygiene Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Issue Hygiene Worker agent?; What inputs and outputs does Issue Hygiene Worker require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,Publish the operating contract for the Keyword Opportunity Analyst agent role.,Keyword Opportunity Analyst agent,Informational and implementation-oriented,Keyword Opportunity Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Keyword Opportunity Analyst agent?; What inputs and outputs does Keyword Opportunity Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/link-health-auditor/,Publish the operating contract for the Link Health Auditor agent role.,Link Health Auditor agent,Informational and implementation-oriented,Link Health Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Link Health Auditor agent?; What inputs and outputs does Link Health Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/lint-runner/,Publish the operating contract for the Lint Runner agent role.,Lint Runner agent,Informational and implementation-oriented,Lint Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Lint Runner agent?; What inputs and outputs does Lint Runner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/managing-editor/,Publish the operating contract for the Managing Editor agent role.,Managing Editor agent,Informational and implementation-oriented,Managing Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Managing Editor agent?; What inputs and outputs does Managing Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/metadata-auditor/,Publish the operating contract for the Metadata Auditor agent role.,Metadata Auditor agent,Informational and implementation-oriented,Metadata Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Metadata Auditor agent?; What inputs and outputs does Metadata Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/newsletter-editor/,Publish the operating contract for the Newsletter Editor agent role.,Newsletter Editor agent,Informational and implementation-oriented,Newsletter Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Newsletter Editor agent?; What inputs and outputs does Newsletter Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/performance-analyst/,Publish the operating contract for the Performance Analyst agent role.,Performance Analyst agent,Informational and implementation-oriented,Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Performance Analyst agent?; What inputs and outputs does Performance Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/planner/,Publish the operating contract for the Planner agent role.,Planner agent,Informational and implementation-oriented,Planner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Planner agent?; What inputs and outputs does Planner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/product-strategist/,Publish the operating contract for the Product Strategist agent role.,Product Strategist agent,Informational and implementation-oriented,Product Strategist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Product Strategist agent?; What inputs and outputs does Product Strategist require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/production-editor/,Publish the operating contract for the Production Editor agent role.,Production Editor agent,Informational and implementation-oriented,Production Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Production Editor agent?; What inputs and outputs does Production Editor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/publisher/,Publish the operating contract for the Publisher agent role.,Publisher agent,Informational and implementation-oriented,Publisher AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Publisher agent?; What inputs and outputs does Publisher require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/publishing-house/,Help readers browse and compare source-grounded agent roles.,Publishing House,Informational and navigational,Publishing House agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which publishing house role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/publishing-operations-director/,Publish the operating contract for the Publishing Operations Director agent role.,Publishing Operations Director agent,Informational and implementation-oriented,Publishing Operations Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Publishing Operations Director agent?; What inputs and outputs does Publishing Operations Director require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/qa-lead/,Publish the operating contract for the QA Lead agent role.,QA Lead agent,Informational and implementation-oriented,QA Lead AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a QA Lead agent?; What inputs and outputs does QA Lead require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/receipt-collector/,Publish the operating contract for the Receipt Collector agent role.,Receipt Collector agent,Informational and implementation-oriented,Receipt Collector AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Receipt Collector agent?; What inputs and outputs does Receipt Collector require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/release-verifier/,Publish the operating contract for the Release Verifier agent role.,Release Verifier agent,Informational and implementation-oriented,Release Verifier AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Release Verifier agent?; What inputs and outputs does Release Verifier require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/research-analyst/,Publish the operating contract for the Research Analyst agent role.,Research Analyst agent,Informational and implementation-oriented,Research Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Research Analyst agent?; What inputs and outputs does Research Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
