phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,Publish the operating contract for the Competitor Intelligence Analyst agent role.,Competitor Intelligence Analyst agent,Informational and implementation-oriented,Competitor Intelligence Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Competitor Intelligence Analyst agent?; What inputs and outputs does Competitor Intelligence Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,Publish the operating contract for the Content Accuracy Reviewer agent role.,Content Accuracy Reviewer agent,Informational and implementation-oriented,Content Accuracy Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Accuracy Reviewer agent?; What inputs and outputs does Content Accuracy Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-decay-analyst/,Publish the operating contract for the Content Decay Analyst agent role.,Content Decay Analyst agent,Informational and implementation-oriented,Content Decay Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Decay Analyst agent?; What inputs and outputs does Content Decay Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-gap-analyst/,Publish the operating contract for the Content Gap Analyst agent role.,Content Gap Analyst agent,Informational and implementation-oriented,Content Gap Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Gap Analyst agent?; What inputs and outputs does Content Gap Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,Publish the operating contract for the Content Portfolio Manager agent role.,Content Portfolio Manager agent,Informational and implementation-oriented,Content Portfolio Manager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Portfolio Manager agent?; What inputs and outputs does Content Portfolio Manager require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,Publish the operating contract for the Content Pruning Analyst agent role.,Content Pruning Analyst agent,Informational and implementation-oriented,Content Pruning Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Content Pruning Analyst agent?; What inputs and outputs does Content Pruning Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/context-packager/,Publish the operating contract for the Context Packager agent role.,Context Packager agent,Informational and implementation-oriented,Context Packager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Context Packager agent?; What inputs and outputs does Context Packager require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/core-developer/,Publish the operating contract for the Core Developer agent role.,Core Developer agent,Informational and implementation-oriented,Core Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Core Developer agent?; What inputs and outputs does Core Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/dependency-scanner/,Publish the operating contract for the Dependency Scanner agent role.,Dependency Scanner agent,Informational and implementation-oriented,Dependency Scanner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Dependency Scanner agent?; What inputs and outputs does Dependency Scanner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/distribution-operator/,Publish the operating contract for the Distribution Operator agent role.,Distribution Operator agent,Informational and implementation-oriented,Distribution Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Distribution Operator agent?; What inputs and outputs does Distribution Operator require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/documentation-writer/,Publish the operating contract for the Documentation Writer agent role.,Documentation Writer agent,Informational and implementation-oriented,Documentation Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Documentation Writer agent?; What inputs and outputs does Documentation Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/frontend-developer/,Publish the operating contract for the Frontend Developer agent role.,Frontend Developer agent,Informational and implementation-oriented,Frontend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Frontend Developer agent?; What inputs and outputs does Frontend Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/general-commander/,Publish the operating contract for the General Commander agent role.,General Commander agent,Informational and implementation-oriented,General Commander AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a General Commander agent?; What inputs and outputs does General Commander require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/,Help readers browse and compare source-grounded agent roles.,Agents,Informational and navigational,Agents agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which agents role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/indexation-analyst/,Publish the operating contract for the Indexation Analyst agent role.,Indexation Analyst agent,Informational and implementation-oriented,Indexation Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Indexation Analyst agent?; What inputs and outputs does Indexation Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,Publish the operating contract for the Information Architecture Auditor agent role.,Information Architecture Auditor agent,Informational and implementation-oriented,Information Architecture Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Information Architecture Auditor agent?; What inputs and outputs does Information Architecture Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/integration-engineer/,Publish the operating contract for the Integration Engineer agent role.,Integration Engineer agent,Informational and implementation-oriented,Integration Engineer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Integration Engineer agent?; What inputs and outputs does Integration Engineer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/internal-link-specialist/,Publish the operating contract for the Internal Link Specialist agent role.,Internal Link Specialist agent,Informational and implementation-oriented,Internal Link Specialist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Internal Link Specialist agent?; What inputs and outputs does Internal Link Specialist require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Publish the operating contract for the Issue Hygiene Worker agent role.,Issue Hygiene Worker agent,Informational and implementation-oriented,Issue Hygiene Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Issue Hygiene Worker agent?; What inputs and outputs does Issue Hygiene Worker require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,Publish the operating contract for the Keyword Opportunity Analyst agent role.,Keyword Opportunity Analyst agent,Informational and implementation-oriented,Keyword Opportunity Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Keyword Opportunity Analyst agent?; What inputs and outputs does Keyword Opportunity Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/link-health-auditor/,Publish the operating contract for the Link Health Auditor agent role.,Link Health Auditor agent,Informational and implementation-oriented,Link Health Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Link Health Auditor agent?; What inputs and outputs does Link Health Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/lint-runner/,Publish the operating contract for the Lint Runner agent role.,Lint Runner agent,Informational and implementation-oriented,Lint Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Lint Runner agent?; What inputs and outputs does Lint Runner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/metadata-auditor/,Publish the operating contract for the Metadata Auditor agent role.,Metadata Auditor agent,Informational and implementation-oriented,Metadata Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Metadata Auditor agent?; What inputs and outputs does Metadata Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/performance-analyst/,Publish the operating contract for the Performance Analyst agent role.,Performance Analyst agent,Informational and implementation-oriented,Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Performance Analyst agent?; What inputs and outputs does Performance Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/planner/,Publish the operating contract for the Planner agent role.,Planner agent,Informational and implementation-oriented,Planner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Planner agent?; What inputs and outputs does Planner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/product-strategist/,Publish the operating contract for the Product Strategist agent role.,Product Strategist agent,Informational and implementation-oriented,Product Strategist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Product Strategist agent?; What inputs and outputs does Product Strategist require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/qa-lead/,Publish the operating contract for the QA Lead agent role.,QA Lead agent,Informational and implementation-oriented,QA Lead AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a QA Lead agent?; What inputs and outputs does QA Lead require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/receipt-collector/,Publish the operating contract for the Receipt Collector agent role.,Receipt Collector agent,Informational and implementation-oriented,Receipt Collector AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Receipt Collector agent?; What inputs and outputs does Receipt Collector require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/release-verifier/,Publish the operating contract for the Release Verifier agent role.,Release Verifier agent,Informational and implementation-oriented,Release Verifier AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Release Verifier agent?; What inputs and outputs does Release Verifier require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/research-analyst/,Publish the operating contract for the Research Analyst agent role.,Research Analyst agent,Informational and implementation-oriented,Research Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Research Analyst agent?; What inputs and outputs does Research Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/risk-officer/,Publish the operating contract for the Risk Officer agent role.,Risk Officer agent,Informational and implementation-oriented,Risk Officer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Risk Officer agent?; What inputs and outputs does Risk Officer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/routine-worker/,Publish the operating contract for the Routine Worker agent role.,Routine Worker agent,Informational and implementation-oriented,Routine Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Routine Worker agent?; What inputs and outputs does Routine Worker require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/schema-auditor/,Publish the operating contract for the Schema Auditor agent role.,Schema Auditor agent,Informational and implementation-oriented,Schema Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Schema Auditor agent?; What inputs and outputs does Schema Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-performance-analyst/,Publish the operating contract for the Search Performance Analyst agent role.,Search Performance Analyst agent,Informational and implementation-oriented,Search Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Search Performance Analyst agent?; What inputs and outputs does Search Performance Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-submission-operator/,Publish the operating contract for the Search Submission Operator agent role.,Search Submission Operator agent,Informational and implementation-oriented,Search Submission Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Search Submission Operator agent?; What inputs and outputs does Search Submission Operator require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/search-web-standards-watch/,Publish the operating contract for the Search & Web Standards Watch agent role.,Search & Web Standards Watch agent,Informational and implementation-oriented,Search & Web Standards Watch AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Search & Web Standards Watch agent?; What inputs and outputs does Search & Web Standards Watch require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/security-reviewer/,Publish the operating contract for the Security Reviewer agent role.,Security Reviewer agent,Informational and implementation-oriented,Security Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Security Reviewer agent?; What inputs and outputs does Security Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/seo-auditor/,Publish the operating contract for the SEO Auditor agent role.,SEO Auditor agent,Informational and implementation-oriented,SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a SEO Auditor agent?; What inputs and outputs does SEO Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/site-qa-operator/,Publish the operating contract for the Site QA Operator agent role.,Site QA Operator agent,Informational and implementation-oriented,Site QA Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Site QA Operator agent?; What inputs and outputs does Site QA Operator require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/sitrep-agent/,Publish the operating contract for the SITREP Agent agent role.,SITREP Agent agent,Informational and implementation-oriented,SITREP Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a SITREP Agent agent?; What inputs and outputs does SITREP Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/spec-writer/,Publish the operating contract for the Spec Writer agent role.,Spec Writer agent,Informational and implementation-oriented,Spec Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Spec Writer agent?; What inputs and outputs does Spec Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/systems-architect/,Publish the operating contract for the Systems Architect agent role.,Systems Architect agent,Informational and implementation-oriented,Systems Architect AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Systems Architect agent?; What inputs and outputs does Systems Architect require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/technical-seo-auditor/,Publish the operating contract for the Technical SEO Auditor agent role.,Technical SEO Auditor agent,Informational and implementation-oriented,Technical SEO Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Technical SEO Auditor agent?; What inputs and outputs does Technical SEO Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/test-runner/,Publish the operating contract for the Test Runner agent role.,Test Runner agent,Informational and implementation-oriented,Test Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Test Runner agent?; What inputs and outputs does Test Runner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/tooling-developer/,Publish the operating contract for the Tooling Developer agent role.,Tooling Developer agent,Informational and implementation-oriented,Tooling Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Tooling Developer agent?; What inputs and outputs does Tooling Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/trend-scout/,Publish the operating contract for the Trend Scout agent role.,Trend Scout agent,Informational and implementation-oriented,Trend Scout AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Trend Scout agent?; What inputs and outputs does Trend Scout require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/triage-agent/,Publish the operating contract for the Triage Agent agent role.,Triage Agent agent,Informational and implementation-oriented,Triage Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Triage Agent agent?; What inputs and outputs does Triage Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/visual-qa-agent/,Publish the operating contract for the Visual QA Agent agent role.,Visual QA Agent agent,Informational and implementation-oriented,Visual QA Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Visual QA Agent agent?; What inputs and outputs does Visual QA Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/webops/,Help readers browse and compare source-grounded agent roles.,WebOps,Informational and navigational,WebOps agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which webops role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/webops-reporter/,Publish the operating contract for the WebOps Reporter agent role.,WebOps Reporter agent,Informational and implementation-oriented,WebOps Reporter AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a WebOps Reporter agent?; What inputs and outputs does WebOps Reporter require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
