phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://agents.kujolang.ai/agents/content-decay-analyst/,content/agents/content-decay-analyst.md,agent,Publish the operating contract for the Content Decay Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Decay Analyst agent,Content Decay Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Decay Analyst,h1:Content Decay Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,606,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-gap-analyst/,content/agents/content-gap-analyst.md,agent,Publish the operating contract for the Content Gap Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Gap Analyst agent,Content Gap Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Gap Analyst,h1:Content Gap Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,602,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,content/agents/content-portfolio-manager.md,agent,Publish the operating contract for the Content Portfolio Manager agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Portfolio Manager agent,Content Portfolio Manager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Portfolio Manager,h1:Content Portfolio Manager | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,584,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,content/agents/content-pruning-analyst.md,agent,Publish the operating contract for the Content Pruning Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Pruning Analyst agent,Content Pruning Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Pruning Analyst,h1:Content Pruning Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,594,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/context-packager/,content/agents/context-packager.md,agent,Publish the operating contract for the Context Packager agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Context Packager agent,Context Packager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Context Packager,h1:Context Packager | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,381,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/core-developer/,content/agents/core-developer.md,agent,Publish the operating contract for the Core Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Core Developer agent,Core Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Core Developer,h1:Core Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,346,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/dependency-scanner/,content/agents/dependency-scanner.md,agent,Publish the operating contract for the Dependency Scanner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Dependency Scanner agent,Dependency Scanner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Dependency Scanner,h1:Dependency Scanner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,273,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/distribution-operator/,content/agents/distribution-operator.md,agent,Publish the operating contract for the Distribution Operator agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Distribution Operator agent,Distribution Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Distribution Operator,h1:Distribution Operator | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,599,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/documentation-writer/,content/agents/documentation-writer.md,agent,Publish the operating contract for the Documentation Writer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Documentation Writer agent,Documentation Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Documentation Writer,h1:Documentation Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,377,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/frontend-developer/,content/agents/frontend-developer.md,agent,Publish the operating contract for the Frontend Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Frontend Developer agent,Frontend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Frontend Developer,h1:Frontend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,379,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/general-commander/,content/agents/general-commander.md,agent,Publish the operating contract for the General Commander agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,General Commander agent,General Commander AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,General Commander,h1:General Commander | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,463,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/,templates/page-agents.html,listing,Help readers browse and compare source-grounded agent roles.,Informational and navigational,Developers and technical leads assembling agent teams,Agents,Agents agent roles,agent responsibilities; orchestration; planning; implementation; verification,Agents,h1:Agents,1270,,,Repository-generated inventory and direct links to source contracts.,The listing explains roles through excerpts but has no selection guide or real usage examples.,,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/indexation-analyst/,content/agents/indexation-analyst.md,agent,Publish the operating contract for the Indexation Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Indexation Analyst agent,Indexation Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Indexation Analyst,h1:Indexation Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,568,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,content/agents/information-architecture-auditor.md,agent,Publish the operating contract for the Information Architecture Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Information Architecture Auditor agent,Information Architecture Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Information Architecture Auditor,h1:Information Architecture Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,585,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/integration-engineer/,content/agents/integration-engineer.md,agent,Publish the operating contract for the Integration Engineer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Integration Engineer agent,Integration Engineer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Integration Engineer,h1:Integration Engineer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,350,,2026-07-18,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/internal-link-specialist/,content/agents/internal-link-specialist.md,agent,Publish the operating contract for the Internal Link Specialist agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Internal Link Specialist agent,Internal Link Specialist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Internal Link Specialist,h1:Internal Link Specialist | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,598,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,content/agents/issue-hygiene-worker.md,agent,Publish the operating contract for the Issue Hygiene Worker agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Issue Hygiene Worker agent,Issue Hygiene Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Issue Hygiene Worker,h1:Issue Hygiene Worker | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,312,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,content/agents/keyword-opportunity-analyst.md,agent,Publish the operating contract for the Keyword Opportunity Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Keyword Opportunity Analyst agent,Keyword Opportunity Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Keyword Opportunity Analyst,h1:Keyword Opportunity Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,598,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/link-health-auditor/,content/agents/link-health-auditor.md,agent,Publish the operating contract for the Link Health Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Link Health Auditor agent,Link Health Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Link Health Auditor,h1:Link Health Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,588,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/lint-runner/,content/agents/lint-runner.md,agent,Publish the operating contract for the Lint Runner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Lint Runner agent,Lint Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Lint Runner,h1:Lint Runner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,270,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/metadata-auditor/,content/agents/metadata-auditor.md,agent,Publish the operating contract for the Metadata Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Metadata Auditor agent,Metadata Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Metadata Auditor,h1:Metadata Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,582,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/performance-analyst/,content/agents/performance-analyst.md,agent,Publish the operating contract for the Performance Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Performance Analyst agent,Performance Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Performance Analyst,h1:Performance Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,586,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/planner/,content/agents/planner.md,agent,Publish the operating contract for the Planner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Planner agent,Planner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Planner,h1:Planner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,307,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
