phase,url,title,title_length,meta_description,description_length,h1_count,canonical,og_title,og_description,og_url,og_image,twitter_card,twitter_title,twitter_description,twitter_image,issues
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,Competitor Intelligence Analyst | Kujo WebOps | Kujo Agents,59,"Monitor selected peers for meaningful changes in topics, positioning, structure, search presence, content, and available backlink evidence.",139,1,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,Competitor Intelligence Analyst | Kujo WebOps,"Monitor selected peers for meaningful changes in topics, positioning, structure, search presence, content, and available backlink evidence.",https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,https://agents.kujolang.ai/assets/images/social/competitor-intelligence-analyst.jpg,summary_large_image,Competitor Intelligence Analyst | Kujo WebOps,"Monitor selected peers for meaningful changes in topics, positioning, structure, search presence, content, and available backlink evidence.",https://agents.kujolang.ai/assets/images/social/competitor-intelligence-analyst.jpg,
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,Content Accuracy Reviewer | Kujo WebOps | Kujo Agents,53,"Review guidance, APIs, versions, products, references, and factual claims against current authoritative sources.",112,1,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,Content Accuracy Reviewer | Kujo WebOps,"Review guidance, APIs, versions, products, references, and factual claims against current authoritative sources.",https://agents.kujolang.ai/agents/content-accuracy-reviewer/,https://agents.kujolang.ai/assets/images/social/content-accuracy-reviewer.jpg,summary_large_image,Content Accuracy Reviewer | Kujo WebOps,"Review guidance, APIs, versions, products, references, and factual claims against current authoritative sources.",https://agents.kujolang.ai/assets/images/social/content-accuracy-reviewer.jpg,
after,https://agents.kujolang.ai/agents/content-decay-analyst/,Content Decay Analyst | Kujo WebOps | Kujo Agents,49,"Identify stale or deteriorating content using measured movement, optional analytics, factual age, source change, and relevance evidence.",136,1,https://agents.kujolang.ai/agents/content-decay-analyst/,Content Decay Analyst | Kujo WebOps,"Identify stale or deteriorating content using measured movement, optional analytics, factual age, source change, and relevance evidence.",https://agents.kujolang.ai/agents/content-decay-analyst/,https://agents.kujolang.ai/assets/images/social/content-decay-analyst.jpg,summary_large_image,Content Decay Analyst | Kujo WebOps,"Identify stale or deteriorating content using measured movement, optional analytics, factual age, source change, and relevance evidence.",https://agents.kujolang.ai/assets/images/social/content-decay-analyst.jpg,
after,https://agents.kujolang.ai/agents/content-gap-analyst/,Content Gap Analyst | Kujo WebOps | Kujo Agents,47,"Classify audience and search needs against current coverage as strong, partial, stale, weak, missing, or irrelevant.",116,1,https://agents.kujolang.ai/agents/content-gap-analyst/,Content Gap Analyst | Kujo WebOps,"Classify audience and search needs against current coverage as strong, partial, stale, weak, missing, or irrelevant.",https://agents.kujolang.ai/agents/content-gap-analyst/,https://agents.kujolang.ai/assets/images/social/content-gap-analyst.jpg,summary_large_image,Content Gap Analyst | Kujo WebOps,"Classify audience and search needs against current coverage as strong, partial, stale, weak, missing, or irrelevant.",https://agents.kujolang.ai/assets/images/social/content-gap-analyst.jpg,
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,Content Portfolio Manager | Kujo WebOps | Kujo Agents,53,"Classify content longitudinally as CREATE, GROW, MAINTAIN, REFRESH, MERGE, REDIRECT, RETIRE, or IGNORE.",103,1,https://agents.kujolang.ai/agents/content-portfolio-manager/,Content Portfolio Manager | Kujo WebOps,"Classify content longitudinally as CREATE, GROW, MAINTAIN, REFRESH, MERGE, REDIRECT, RETIRE, or IGNORE.",https://agents.kujolang.ai/agents/content-portfolio-manager/,https://agents.kujolang.ai/assets/images/social/content-portfolio-manager.jpg,summary_large_image,Content Portfolio Manager | Kujo WebOps,"Classify content longitudinally as CREATE, GROW, MAINTAIN, REFRESH, MERGE, REDIRECT, RETIRE, or IGNORE.",https://agents.kujolang.ai/assets/images/social/content-portfolio-manager.jpg,
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,Content Pruning Analyst | Kujo WebOps | Kujo Agents,51,"Find obsolete, redundant, or low-value content and propose evidence-backed keep, merge, redirect, refresh, or retire decisions.",127,1,https://agents.kujolang.ai/agents/content-pruning-analyst/,Content Pruning Analyst | Kujo WebOps,"Find obsolete, redundant, or low-value content and propose evidence-backed keep, merge, redirect, refresh, or retire decisions.",https://agents.kujolang.ai/agents/content-pruning-analyst/,https://agents.kujolang.ai/assets/images/social/content-pruning-analyst.jpg,summary_large_image,Content Pruning Analyst | Kujo WebOps,"Find obsolete, redundant, or low-value content and propose evidence-backed keep, merge, redirect, refresh, or retire decisions.",https://agents.kujolang.ai/assets/images/social/content-pruning-analyst.jpg,
after,https://agents.kujolang.ai/agents/context-packager/,Context Packager | Kujo Chain of Command | Kujo Agents,54,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",112,1,https://agents.kujolang.ai/agents/context-packager/,Context Packager | Kujo Chain of Command,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",https://agents.kujolang.ai/agents/context-packager/,https://agents.kujolang.ai/assets/images/social/context-packager.jpg,summary_large_image,Context Packager | Kujo Chain of Command,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",https://agents.kujolang.ai/assets/images/social/context-packager.jpg,
after,https://agents.kujolang.ai/agents/core-developer/,Core Developer | Kujo Chain of Command | Kujo Agents,52,Implement bounded source changes and focused tests inside an assigned scope.,76,1,https://agents.kujolang.ai/agents/core-developer/,Core Developer | Kujo Chain of Command,Implement bounded source changes and focused tests inside an assigned scope.,https://agents.kujolang.ai/agents/core-developer/,https://agents.kujolang.ai/assets/images/social/core-developer.jpg,summary_large_image,Core Developer | Kujo Chain of Command,Implement bounded source changes and focused tests inside an assigned scope.,https://agents.kujolang.ai/assets/images/social/core-developer.jpg,
after,https://agents.kujolang.ai/agents/dependency-scanner/,Dependency Scanner | Kujo Chain of Command | Kujo Agents,56,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",80,1,https://agents.kujolang.ai/agents/dependency-scanner/,Dependency Scanner | Kujo Chain of Command,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",https://agents.kujolang.ai/agents/dependency-scanner/,https://agents.kujolang.ai/assets/images/social/dependency-scanner.jpg,summary_large_image,Dependency Scanner | Kujo Chain of Command,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",https://agents.kujolang.ai/assets/images/social/dependency-scanner.jpg,
after,https://agents.kujolang.ai/agents/distribution-operator/,Distribution Operator | Kujo WebOps | Kujo Agents,49,Turn approved published content into source-grounded distribution assets and publish only with explicit ACT authority and integration.,134,1,https://agents.kujolang.ai/agents/distribution-operator/,Distribution Operator | Kujo WebOps,Turn approved published content into source-grounded distribution assets and publish only with explicit ACT authority and integration.,https://agents.kujolang.ai/agents/distribution-operator/,https://agents.kujolang.ai/assets/images/social/distribution-operator.jpg,summary_large_image,Distribution Operator | Kujo WebOps,Turn approved published content into source-grounded distribution assets and publish only with explicit ACT authority and integration.,https://agents.kujolang.ai/assets/images/social/distribution-operator.jpg,
after,https://agents.kujolang.ai/agents/documentation-writer/,Documentation Writer | Kujo Chain of Command | Kujo Agents,58,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",132,1,https://agents.kujolang.ai/agents/documentation-writer/,Documentation Writer | Kujo Chain of Command,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",https://agents.kujolang.ai/agents/documentation-writer/,https://agents.kujolang.ai/assets/images/social/documentation-writer.jpg,summary_large_image,Documentation Writer | Kujo Chain of Command,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",https://agents.kujolang.ai/assets/images/social/documentation-writer.jpg,
after,https://agents.kujolang.ai/agents/frontend-developer/,Frontend Developer | Kujo Chain of Command | Kujo Agents,56,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",107,1,https://agents.kujolang.ai/agents/frontend-developer/,Frontend Developer | Kujo Chain of Command,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",https://agents.kujolang.ai/agents/frontend-developer/,https://agents.kujolang.ai/assets/images/social/frontend-developer.jpg,summary_large_image,Frontend Developer | Kujo Chain of Command,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",https://agents.kujolang.ai/assets/images/social/frontend-developer.jpg,
after,https://agents.kujolang.ai/agents/general-commander/,General Commander | Kujo Chain of Command | Kujo Agents,55,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",133,1,https://agents.kujolang.ai/agents/general-commander/,General Commander | Kujo Chain of Command,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",https://agents.kujolang.ai/agents/general-commander/,https://agents.kujolang.ai/assets/images/social/general-commander.jpg,summary_large_image,General Commander | Kujo Chain of Command,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",https://agents.kujolang.ai/assets/images/social/general-commander.jpg,
after,https://agents.kujolang.ai/agents/,Agents | Kujo Agents,20,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",123,1,https://agents.kujolang.ai/agents/,Agents,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/assets/images/social/agents.jpg,summary_large_image,Agents,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",https://agents.kujolang.ai/assets/images/social/agents.jpg,
after,https://agents.kujolang.ai/agents/indexation-analyst/,Indexation Analyst | Kujo WebOps | Kujo Agents,46,Distinguish local crawlability and indexability from provider-confirmed search-engine index state.,98,1,https://agents.kujolang.ai/agents/indexation-analyst/,Indexation Analyst | Kujo WebOps,Distinguish local crawlability and indexability from provider-confirmed search-engine index state.,https://agents.kujolang.ai/agents/indexation-analyst/,https://agents.kujolang.ai/assets/images/social/indexation-analyst.jpg,summary_large_image,Indexation Analyst | Kujo WebOps,Distinguish local crawlability and indexability from provider-confirmed search-engine index state.,https://agents.kujolang.ai/assets/images/social/indexation-analyst.jpg,
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,Information Architecture Auditor | Kujo WebOps | Kujo Agents,60,"Review navigation, hierarchy, categories, tags, breadcrumbs, clusters, URLs, depth, discoverability, and orphaning.",115,1,https://agents.kujolang.ai/agents/information-architecture-auditor/,Information Architecture Auditor | Kujo WebOps,"Review navigation, hierarchy, categories, tags, breadcrumbs, clusters, URLs, depth, discoverability, and orphaning.",https://agents.kujolang.ai/agents/information-architecture-auditor/,https://agents.kujolang.ai/assets/images/social/information-architecture-auditor.jpg,summary_large_image,Information Architecture Auditor | Kujo WebOps,"Review navigation, hierarchy, categories, tags, breadcrumbs, clusters, URLs, depth, discoverability, and orphaning.",https://agents.kujolang.ai/assets/images/social/information-architecture-auditor.jpg,
after,https://agents.kujolang.ai/agents/integration-engineer/,Integration Engineer | Kujo Chain of Command | Kujo Agents,58,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",139,1,https://agents.kujolang.ai/agents/integration-engineer/,Integration Engineer | Kujo Chain of Command,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",https://agents.kujolang.ai/agents/integration-engineer/,https://agents.kujolang.ai/assets/images/social/integration-engineer.jpg,summary_large_image,Integration Engineer | Kujo Chain of Command,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",https://agents.kujolang.ai/assets/images/social/integration-engineer.jpg,
after,https://agents.kujolang.ai/agents/internal-link-specialist/,Internal Link Specialist | Kujo WebOps | Kujo Agents,52,"Find and, under explicit ACT authority, apply contextually useful internal links supported by content relationships.",116,1,https://agents.kujolang.ai/agents/internal-link-specialist/,Internal Link Specialist | Kujo WebOps,"Find and, under explicit ACT authority, apply contextually useful internal links supported by content relationships.",https://agents.kujolang.ai/agents/internal-link-specialist/,https://agents.kujolang.ai/assets/images/social/internal-link-specialist.jpg,summary_large_image,Internal Link Specialist | Kujo WebOps,"Find and, under explicit ACT authority, apply contextually useful internal links supported by content relationships.",https://agents.kujolang.ai/assets/images/social/internal-link-specialist.jpg,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Issue Hygiene Worker | Kujo Chain of Command | Kujo Agents,58,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",137,1,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Issue Hygiene Worker | Kujo Chain of Command,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",https://agents.kujolang.ai/agents/issue-hygiene-worker/,https://agents.kujolang.ai/assets/images/social/issue-hygiene-worker.jpg,summary_large_image,Issue Hygiene Worker | Kujo Chain of Command,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",https://agents.kujolang.ai/assets/images/social/issue-hygiene-worker.jpg,
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,Keyword Opportunity Analyst | Kujo WebOps | Kujo Agents,55,"Identify query opportunities from measured site data, optional third-party estimates, public research, and current site coverage.",129,1,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,Keyword Opportunity Analyst | Kujo WebOps,"Identify query opportunities from measured site data, optional third-party estimates, public research, and current site coverage.",https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,https://agents.kujolang.ai/assets/images/social/keyword-opportunity-analyst.jpg,summary_large_image,Keyword Opportunity Analyst | Kujo WebOps,"Identify query opportunities from measured site data, optional third-party estimates, public research, and current site coverage.",https://agents.kujolang.ai/assets/images/social/keyword-opportunity-analyst.jpg,
after,https://agents.kujolang.ai/agents/link-health-auditor/,Link Health Auditor | Kujo WebOps | Kujo Agents,47,"Analyze broken internal and outbound links, redirect chains, malformed destinations, and unexpected targets.",108,1,https://agents.kujolang.ai/agents/link-health-auditor/,Link Health Auditor | Kujo WebOps,"Analyze broken internal and outbound links, redirect chains, malformed destinations, and unexpected targets.",https://agents.kujolang.ai/agents/link-health-auditor/,https://agents.kujolang.ai/assets/images/social/link-health-auditor.jpg,summary_large_image,Link Health Auditor | Kujo WebOps,"Analyze broken internal and outbound links, redirect chains, malformed destinations, and unexpected targets.",https://agents.kujolang.ai/assets/images/social/link-health-auditor.jpg,
after,https://agents.kujolang.ai/agents/lint-runner/,Lint Runner | Kujo Chain of Command | Kujo Agents,49,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",98,1,https://agents.kujolang.ai/agents/lint-runner/,Lint Runner | Kujo Chain of Command,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",https://agents.kujolang.ai/agents/lint-runner/,https://agents.kujolang.ai/assets/images/social/lint-runner.jpg,summary_large_image,Lint Runner | Kujo Chain of Command,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",https://agents.kujolang.ai/assets/images/social/lint-runner.jpg,
after,https://agents.kujolang.ai/agents/metadata-auditor/,Metadata Auditor | Kujo WebOps | Kujo Agents,44,"Audit titles, descriptions, canonicals, robots, Open Graph, social, article metadata, duplication, and missing fields.",118,1,https://agents.kujolang.ai/agents/metadata-auditor/,Metadata Auditor | Kujo WebOps,"Audit titles, descriptions, canonicals, robots, Open Graph, social, article metadata, duplication, and missing fields.",https://agents.kujolang.ai/agents/metadata-auditor/,https://agents.kujolang.ai/assets/images/social/metadata-auditor.jpg,summary_large_image,Metadata Auditor | Kujo WebOps,"Audit titles, descriptions, canonicals, robots, Open Graph, social, article metadata, duplication, and missing fields.",https://agents.kujolang.ai/assets/images/social/metadata-auditor.jpg,
after,https://agents.kujolang.ai/agents/performance-analyst/,Performance Analyst | Kujo WebOps | Kujo Agents,47,Track lab and real-user field performance as distinct evidence classes and compare them longitudinally.,103,1,https://agents.kujolang.ai/agents/performance-analyst/,Performance Analyst | Kujo WebOps,Track lab and real-user field performance as distinct evidence classes and compare them longitudinally.,https://agents.kujolang.ai/agents/performance-analyst/,https://agents.kujolang.ai/assets/images/social/performance-analyst.jpg,summary_large_image,Performance Analyst | Kujo WebOps,Track lab and real-user field performance as distinct evidence classes and compare them longitudinally.,https://agents.kujolang.ai/assets/images/social/performance-analyst.jpg,
after,https://agents.kujolang.ai/agents/planner/,Planner | Kujo Chain of Command | Kujo Agents,45,"Convert goals into milestones, tasks, sequencing, dependencies, acceptance criteria, and verification plans.",108,1,https://agents.kujolang.ai/agents/planner/,Planner | Kujo Chain of Command,"Convert goals into milestones, tasks, sequencing, dependencies, acceptance criteria, and verification plans.",https://agents.kujolang.ai/agents/planner/,https://agents.kujolang.ai/assets/images/social/planner.jpg,summary_large_image,Planner | Kujo Chain of Command,"Convert goals into milestones, tasks, sequencing, dependencies, acceptance criteria, and verification plans.",https://agents.kujolang.ai/assets/images/social/planner.jpg,
after,https://agents.kujolang.ai/agents/product-strategist/,Product Strategist | Kujo Chain of Command | Kujo Agents,56,"Own user value, roadmap fit, feature framing, adoption assumptions, and ICP alignment.",86,1,https://agents.kujolang.ai/agents/product-strategist/,Product Strategist | Kujo Chain of Command,"Own user value, roadmap fit, feature framing, adoption assumptions, and ICP alignment.",https://agents.kujolang.ai/agents/product-strategist/,https://agents.kujolang.ai/assets/images/social/product-strategist.jpg,summary_large_image,Product Strategist | Kujo Chain of Command,"Own user value, roadmap fit, feature framing, adoption assumptions, and ICP alignment.",https://agents.kujolang.ai/assets/images/social/product-strategist.jpg,
after,https://agents.kujolang.ai/agents/qa-lead/,QA Lead | Kujo Chain of Command | Kujo Agents,45,"Define test plans, evidence requirements, acceptance gates, and quality status for a change or release candidate.",113,1,https://agents.kujolang.ai/agents/qa-lead/,QA Lead | Kujo Chain of Command,"Define test plans, evidence requirements, acceptance gates, and quality status for a change or release candidate.",https://agents.kujolang.ai/agents/qa-lead/,https://agents.kujolang.ai/assets/images/social/qa-lead.jpg,summary_large_image,QA Lead | Kujo Chain of Command,"Define test plans, evidence requirements, acceptance gates, and quality status for a change or release candidate.",https://agents.kujolang.ai/assets/images/social/qa-lead.jpg,
after,https://agents.kujolang.ai/agents/receipt-collector/,Receipt Collector | Kujo Chain of Command | Kujo Agents,55,"Capture command output, logs, RunLedger receipts, CaseFile bundles, Watchdog telemetry references, and evidence paths for auditability.",135,1,https://agents.kujolang.ai/agents/receipt-collector/,Receipt Collector | Kujo Chain of Command,"Capture command output, logs, RunLedger receipts, CaseFile bundles, Watchdog telemetry references, and evidence paths for auditability.",https://agents.kujolang.ai/agents/receipt-collector/,https://agents.kujolang.ai/assets/images/social/receipt-collector.jpg,summary_large_image,Receipt Collector | Kujo Chain of Command,"Capture command output, logs, RunLedger receipts, CaseFile bundles, Watchdog telemetry references, and evidence paths for auditability.",https://agents.kujolang.ai/assets/images/social/receipt-collector.jpg,
after,https://agents.kujolang.ai/agents/release-verifier/,Release Verifier | Kujo Chain of Command | Kujo Agents,54,"Check release readiness, run or coordinate release gates, and report blockers before ship decisions.",100,1,https://agents.kujolang.ai/agents/release-verifier/,Release Verifier | Kujo Chain of Command,"Check release readiness, run or coordinate release gates, and report blockers before ship decisions.",https://agents.kujolang.ai/agents/release-verifier/,https://agents.kujolang.ai/assets/images/social/release-verifier.jpg,summary_large_image,Release Verifier | Kujo Chain of Command,"Check release readiness, run or coordinate release gates, and report blockers before ship decisions.",https://agents.kujolang.ai/assets/images/social/release-verifier.jpg,
after,https://agents.kujolang.ai/agents/research-analyst/,Research Analyst | Kujo Chain of Command | Kujo Agents,54,"Gather repo, API, dependency, workflow, or technical context and separate confirmed facts from inference.",105,1,https://agents.kujolang.ai/agents/research-analyst/,Research Analyst | Kujo Chain of Command,"Gather repo, API, dependency, workflow, or technical context and separate confirmed facts from inference.",https://agents.kujolang.ai/agents/research-analyst/,https://agents.kujolang.ai/assets/images/social/research-analyst.jpg,summary_large_image,Research Analyst | Kujo Chain of Command,"Gather repo, API, dependency, workflow, or technical context and separate confirmed facts from inference.",https://agents.kujolang.ai/assets/images/social/research-analyst.jpg,
after,https://agents.kujolang.ai/agents/risk-officer/,Risk Officer | Kujo Chain of Command | Kujo Agents,50,"Identify risk, security concerns, migration issues, release blockers, scope creep, and evidence gaps before or during work.",123,1,https://agents.kujolang.ai/agents/risk-officer/,Risk Officer | Kujo Chain of Command,"Identify risk, security concerns, migration issues, release blockers, scope creep, and evidence gaps before or during work.",https://agents.kujolang.ai/agents/risk-officer/,https://agents.kujolang.ai/assets/images/social/risk-officer.jpg,summary_large_image,Risk Officer | Kujo Chain of Command,"Identify risk, security concerns, migration issues, release blockers, scope creep, and evidence gaps before or during work.",https://agents.kujolang.ai/assets/images/social/risk-officer.jpg,
