phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,content/agents/cannibalization-analyst.md,agent,Publish the operating contract for the Cannibalization Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Cannibalization Analyst agent,Cannibalization Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Cannibalization Analyst,h1:Cannibalization Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,606,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/case-study-editor/,content/agents/case-study-editor.md,agent,Publish the operating contract for the Case Study Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Case Study Editor agent,Case Study Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Case Study Editor,h1:Case Study Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,549,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/chain-of-command/,templates/page-agent-set.html,listing,Help readers browse and compare source-grounded agent roles.,Informational and navigational,Developers and technical leads assembling agent teams,Chain of Command,Chain of Command agent roles,agent responsibilities; orchestration; planning; implementation; verification,Chain of Command,h1:Chain of Command,648,,,Repository-generated inventory and direct links to source contracts.,The listing explains roles through excerpts but has no selection guide or real usage examples.,,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/chief-of-staff/,content/agents/chief-of-staff.md,agent,Publish the operating contract for the Chief Of Staff agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Chief Of Staff agent,Chief Of Staff AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Chief Of Staff,h1:Chief Of Staff | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,392,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/code-reviewer/,content/agents/code-reviewer.md,agent,Publish the operating contract for the Code Reviewer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Code Reviewer agent,Code Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Code Reviewer,h1:Code Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,341,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/commissioning-editor/,content/agents/commissioning-editor.md,agent,Publish the operating contract for the Commissioning Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Commissioning Editor agent,Commissioning Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Commissioning Editor,h1:Commissioning Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,530,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,content/agents/competitor-intelligence-analyst.md,agent,Publish the operating contract for the Competitor Intelligence Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Competitor Intelligence Analyst agent,Competitor Intelligence Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Competitor Intelligence Analyst,h1:Competitor Intelligence Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,621,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,content/agents/content-accuracy-reviewer.md,agent,Publish the operating contract for the Content Accuracy Reviewer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Accuracy Reviewer agent,Content Accuracy Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Accuracy Reviewer,h1:Content Accuracy Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,610,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-decay-analyst/,content/agents/content-decay-analyst.md,agent,Publish the operating contract for the Content Decay Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Decay Analyst agent,Content Decay Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Decay Analyst,h1:Content Decay Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,624,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-gap-analyst/,content/agents/content-gap-analyst.md,agent,Publish the operating contract for the Content Gap Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Gap Analyst agent,Content Gap Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Gap Analyst,h1:Content Gap Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,620,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,content/agents/content-portfolio-manager.md,agent,Publish the operating contract for the Content Portfolio Manager agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Portfolio Manager agent,Content Portfolio Manager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Portfolio Manager,h1:Content Portfolio Manager | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,602,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,content/agents/content-pruning-analyst.md,agent,Publish the operating contract for the Content Pruning Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Pruning Analyst agent,Content Pruning Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Pruning Analyst,h1:Content Pruning Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,612,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/context-packager/,content/agents/context-packager.md,agent,Publish the operating contract for the Context Packager agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Context Packager agent,Context Packager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Context Packager,h1:Context Packager | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,399,,2026-08-01,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/copy-chief/,content/agents/copy-chief.md,agent,Publish the operating contract for the Copy Chief agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Copy Chief agent,Copy Chief AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Copy Chief,h1:Copy Chief | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,534,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/core-developer/,content/agents/core-developer.md,agent,Publish the operating contract for the Core Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Core Developer agent,Core Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Core Developer,h1:Core Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,364,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/creative-director/,content/agents/creative-director.md,agent,Publish the operating contract for the Creative Director agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Creative Director agent,Creative Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Creative Director,h1:Creative Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,536,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/dependency-scanner/,content/agents/dependency-scanner.md,agent,Publish the operating contract for the Dependency Scanner agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Dependency Scanner agent,Dependency Scanner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Dependency Scanner,h1:Dependency Scanner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,291,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/developmental-editor/,content/agents/developmental-editor.md,agent,Publish the operating contract for the Developmental Editor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Developmental Editor agent,Developmental Editor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Developmental Editor,h1:Developmental Editor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,533,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,content/agents/director-of-editorial-intelligence.md,agent,Publish the operating contract for the Director of Editorial Intelligence agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Director of Editorial Intelligence agent,Director of Editorial Intelligence AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Director of Editorial Intelligence,h1:Director of Editorial Intelligence | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,526,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/distribution-operator/,content/agents/distribution-operator.md,agent,Publish the operating contract for the Distribution Operator agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Distribution Operator agent,Distribution Operator AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Distribution Operator,h1:Distribution Operator | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,617,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/documentation-writer/,content/agents/documentation-writer.md,agent,Publish the operating contract for the Documentation Writer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Documentation Writer agent,Documentation Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Documentation Writer,h1:Documentation Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,395,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/editor-in-chief/,content/agents/editor-in-chief.md,agent,Publish the operating contract for the Editor-in-Chief agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Editor-in-Chief agent,Editor-in-Chief AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Editor-in-Chief,h1:Editor-in-Chief | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,512,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/editorial-strategy-director/,content/agents/editorial-strategy-director.md,agent,Publish the operating contract for the Editorial Strategy Director agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Editorial Strategy Director agent,Editorial Strategy Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Editorial Strategy Director,h1:Editorial Strategy Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,545,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/features-writer/,content/agents/features-writer.md,agent,Publish the operating contract for the Features Writer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Features Writer agent,Features Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Features Writer,h1:Features Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,543,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
