phase,url,title,title_length,duplicate_title,meta_description,description_length,duplicate_description,h1,h1_count,canonical,lang,og_title,og_description,og_url,og_image,twitter_card,author,issues,production_status
after,https://agents.kujolang.ai/agents/campaign-copywriter/,Campaign Copywriter | Kujo Publishing House | Kujo Agents,57,no,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",126,no,Campaign Copywriter,1,https://agents.kujolang.ai/agents/campaign-copywriter/,en,Campaign Copywriter | Kujo Publishing House,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",https://agents.kujolang.ai/agents/campaign-copywriter/,https://agents.kujolang.ai/assets/images/social/campaign-copywriter.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,Cannibalization Analyst | Kujo WebOps | Kujo Agents,51,no,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,127,no,Cannibalization Analyst,1,https://agents.kujolang.ai/agents/cannibalization-analyst/,en,Cannibalization Analyst | Kujo WebOps,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,https://agents.kujolang.ai/agents/cannibalization-analyst/,https://agents.kujolang.ai/assets/images/social/cannibalization-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/case-study-editor/,Case Study Editor | Kujo Publishing House | Kujo Agents,55,no,"Develop customer, project, and product evidence into credible case studies with consent, attribution, context, and bounded outcome claims.",138,no,Case Study Editor,1,https://agents.kujolang.ai/agents/case-study-editor/,en,Case Study Editor | Kujo Publishing House,"Develop customer, project, and product evidence into credible case studies with consent, attribution, context, and bounded outcome claims.",https://agents.kujolang.ai/agents/case-study-editor/,https://agents.kujolang.ai/assets/images/social/case-study-editor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command Agents | Kujo Agents,37,no,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",98,no,Chain of Command,1,https://agents.kujolang.ai/agents/chain-of-command/,en,Chain of Command Agents,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/assets/images/social/agents-chain-of-command.jpg,summary_large_image,Robert DeVore,,200
after,https://agents.kujolang.ai/agents/chief-of-staff/,Chief Of Staff | Kujo Chain of Command | Kujo Agents,52,no,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",100,no,Chief Of Staff,1,https://agents.kujolang.ai/agents/chief-of-staff/,en,Chief Of Staff | Kujo Chain of Command,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",https://agents.kujolang.ai/agents/chief-of-staff/,https://agents.kujolang.ai/assets/images/social/chief-of-staff.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/code-reviewer/,Code Reviewer | Kujo Chain of Command | Kujo Agents,51,no,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",110,no,Code Reviewer,1,https://agents.kujolang.ai/agents/code-reviewer/,en,Code Reviewer | Kujo Chain of Command,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",https://agents.kujolang.ai/agents/code-reviewer/,https://agents.kujolang.ai/assets/images/social/code-reviewer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/commissioning-editor/,Commissioning Editor | Kujo Publishing House | Kujo Agents,58,no,"Convert approved strategy into sharp assignments with a thesis, angle, reader promise, evidence burden, format, owner, and artifact bundle.",139,no,Commissioning Editor,1,https://agents.kujolang.ai/agents/commissioning-editor/,en,Commissioning Editor | Kujo Publishing House,"Convert approved strategy into sharp assignments with a thesis, angle, reader promise, evidence burden, format, owner, and artifact bundle.",https://agents.kujolang.ai/agents/commissioning-editor/,https://agents.kujolang.ai/assets/images/social/commissioning-editor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,Competitor Intelligence Analyst | Kujo WebOps | Kujo Agents,59,no,"Monitor selected peers for meaningful changes in topics, positioning, structure, search presence, content, and available backlink evidence.",139,no,Competitor Intelligence Analyst,1,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,en,Competitor Intelligence Analyst | Kujo WebOps,"Monitor selected peers for meaningful changes in topics, positioning, structure, search presence, content, and available backlink evidence.",https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,https://agents.kujolang.ai/assets/images/social/competitor-intelligence-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,Content Accuracy Reviewer | Kujo WebOps | Kujo Agents,53,no,"Review guidance, APIs, versions, products, references, and factual claims against current authoritative sources.",112,no,Content Accuracy Reviewer,1,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,en,Content Accuracy Reviewer | Kujo WebOps,"Review guidance, APIs, versions, products, references, and factual claims against current authoritative sources.",https://agents.kujolang.ai/agents/content-accuracy-reviewer/,https://agents.kujolang.ai/assets/images/social/content-accuracy-reviewer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/content-decay-analyst/,Content Decay Analyst | Kujo WebOps | Kujo Agents,49,no,"Identify stale or deteriorating content using measured movement, optional analytics, factual age, source change, and relevance evidence.",136,no,Content Decay Analyst,1,https://agents.kujolang.ai/agents/content-decay-analyst/,en,Content Decay Analyst | Kujo WebOps,"Identify stale or deteriorating content using measured movement, optional analytics, factual age, source change, and relevance evidence.",https://agents.kujolang.ai/agents/content-decay-analyst/,https://agents.kujolang.ai/assets/images/social/content-decay-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/content-gap-analyst/,Content Gap Analyst | Kujo WebOps | Kujo Agents,47,no,"Classify audience and search needs against current coverage as strong, partial, stale, weak, missing, or irrelevant.",116,no,Content Gap Analyst,1,https://agents.kujolang.ai/agents/content-gap-analyst/,en,Content Gap Analyst | Kujo WebOps,"Classify audience and search needs against current coverage as strong, partial, stale, weak, missing, or irrelevant.",https://agents.kujolang.ai/agents/content-gap-analyst/,https://agents.kujolang.ai/assets/images/social/content-gap-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,Content Portfolio Manager | Kujo WebOps | Kujo Agents,53,no,"Classify content longitudinally as CREATE, GROW, MAINTAIN, REFRESH, MERGE, REDIRECT, RETIRE, or IGNORE.",103,no,Content Portfolio Manager,1,https://agents.kujolang.ai/agents/content-portfolio-manager/,en,Content Portfolio Manager | Kujo WebOps,"Classify content longitudinally as CREATE, GROW, MAINTAIN, REFRESH, MERGE, REDIRECT, RETIRE, or IGNORE.",https://agents.kujolang.ai/agents/content-portfolio-manager/,https://agents.kujolang.ai/assets/images/social/content-portfolio-manager.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,Content Pruning Analyst | Kujo WebOps | Kujo Agents,51,no,"Find obsolete, redundant, or low-value content and propose evidence-backed keep, merge, redirect, refresh, or retire decisions.",127,no,Content Pruning Analyst,1,https://agents.kujolang.ai/agents/content-pruning-analyst/,en,Content Pruning Analyst | Kujo WebOps,"Find obsolete, redundant, or low-value content and propose evidence-backed keep, merge, redirect, refresh, or retire decisions.",https://agents.kujolang.ai/agents/content-pruning-analyst/,https://agents.kujolang.ai/assets/images/social/content-pruning-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/context-packager/,Context Packager | Kujo Chain of Command | Kujo Agents,54,no,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",112,no,Context Packager,1,https://agents.kujolang.ai/agents/context-packager/,en,Context Packager | Kujo Chain of Command,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",https://agents.kujolang.ai/agents/context-packager/,https://agents.kujolang.ai/assets/images/social/context-packager.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/copy-chief/,Copy Chief | Kujo Publishing House | Kujo Agents,48,no,"Own sentence-level clarity, rhythm, terminology, grammar, formatting, headlines, captions, metadata, and the house style system.",128,no,Copy Chief,1,https://agents.kujolang.ai/agents/copy-chief/,en,Copy Chief | Kujo Publishing House,"Own sentence-level clarity, rhythm, terminology, grammar, formatting, headlines, captions, metadata, and the house style system.",https://agents.kujolang.ai/agents/copy-chief/,https://agents.kujolang.ai/assets/images/social/copy-chief.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/core-developer/,Core Developer | Kujo Chain of Command | Kujo Agents,52,no,Implement bounded source changes and focused tests inside an assigned scope.,76,no,Core Developer,1,https://agents.kujolang.ai/agents/core-developer/,en,Core Developer | Kujo Chain of Command,Implement bounded source changes and focused tests inside an assigned scope.,https://agents.kujolang.ai/agents/core-developer/,https://agents.kujolang.ai/assets/images/social/core-developer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/creative-director/,Creative Director | Kujo Publishing House | Kujo Agents,55,no,"Develop the central creative idea and direct its coherent expression across language, imagery, formats, and campaign moments.",125,no,Creative Director,1,https://agents.kujolang.ai/agents/creative-director/,en,Creative Director | Kujo Publishing House,"Develop the central creative idea and direct its coherent expression across language, imagery, formats, and campaign moments.",https://agents.kujolang.ai/agents/creative-director/,https://agents.kujolang.ai/assets/images/social/creative-director.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/dependency-scanner/,Dependency Scanner | Kujo Chain of Command | Kujo Agents,56,no,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",80,no,Dependency Scanner,1,https://agents.kujolang.ai/agents/dependency-scanner/,en,Dependency Scanner | Kujo Chain of Command,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",https://agents.kujolang.ai/agents/dependency-scanner/,https://agents.kujolang.ai/assets/images/social/dependency-scanner.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/developmental-editor/,Developmental Editor | Kujo Publishing House | Kujo Agents,58,no,"Interrogate and improve argument, structure, narrative, audience value, pacing, originality, omissions, and strategic fit before line editing.",142,no,Developmental Editor,1,https://agents.kujolang.ai/agents/developmental-editor/,en,Developmental Editor | Kujo Publishing House,"Interrogate and improve argument, structure, narrative, audience value, pacing, originality, omissions, and strategic fit before line editing.",https://agents.kujolang.ai/agents/developmental-editor/,https://agents.kujolang.ai/assets/images/social/developmental-editor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,Director of Editorial Intelligence | Kujo Publishing House | Kujo Agents,72,no,"Synthesize audience, category, product, cultural, search, community, competitor, and source intelligence into non-obvious editorial opportunities.",146,no,Director of Editorial Intelligence,1,https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,en,Director of Editorial Intelligence | Kujo Publishing House,"Synthesize audience, category, product, cultural, search, community, competitor, and source intelligence into non-obvious editorial opportunities.",https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,https://agents.kujolang.ai/assets/images/social/director-of-editorial-intelligence.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/distribution-operator/,Distribution Operator | Kujo WebOps | Kujo Agents,49,no,Turn approved published content into source-grounded distribution assets and publish only with explicit ACT authority and integration.,134,no,Distribution Operator,1,https://agents.kujolang.ai/agents/distribution-operator/,en,Distribution Operator | Kujo WebOps,Turn approved published content into source-grounded distribution assets and publish only with explicit ACT authority and integration.,https://agents.kujolang.ai/agents/distribution-operator/,https://agents.kujolang.ai/assets/images/social/distribution-operator.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/documentation-writer/,Documentation Writer | Kujo Chain of Command | Kujo Agents,58,no,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",132,no,Documentation Writer,1,https://agents.kujolang.ai/agents/documentation-writer/,en,Documentation Writer | Kujo Chain of Command,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",https://agents.kujolang.ai/agents/documentation-writer/,https://agents.kujolang.ai/assets/images/social/documentation-writer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/editor-in-chief/,Editor-in-Chief | Kujo Publishing House | Kujo Agents,53,no,"Own editorial judgment, point of view, intellectual ambition, and the final editorial recommendation before human approval.",123,no,Editor-in-Chief,1,https://agents.kujolang.ai/agents/editor-in-chief/,en,Editor-in-Chief | Kujo Publishing House,"Own editorial judgment, point of view, intellectual ambition, and the final editorial recommendation before human approval.",https://agents.kujolang.ai/agents/editor-in-chief/,https://agents.kujolang.ai/assets/images/social/editor-in-chief.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/editorial-strategy-director/,Editorial Strategy Director | Kujo Publishing House | Kujo Agents,65,no,"Turn organizational goals into editorial theses, campaign architectures, audience journeys, franchises, and portfolio choices.",126,no,Editorial Strategy Director,1,https://agents.kujolang.ai/agents/editorial-strategy-director/,en,Editorial Strategy Director | Kujo Publishing House,"Turn organizational goals into editorial theses, campaign architectures, audience journeys, franchises, and portfolio choices.",https://agents.kujolang.ai/agents/editorial-strategy-director/,https://agents.kujolang.ai/assets/images/social/editorial-strategy-director.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/features-writer/,Features Writer | Kujo Publishing House | Kujo Agents,53,no,"Write essays, features, arguments, profiles, case-led narratives, and long-form thought leadership with a distinctive and defensible point of view.",147,no,Features Writer,1,https://agents.kujolang.ai/agents/features-writer/,en,Features Writer | Kujo Publishing House,"Write essays, features, arguments, profiles, case-led narratives, and long-form thought leadership with a distinctive and defensible point of view.",https://agents.kujolang.ai/agents/features-writer/,https://agents.kujolang.ai/assets/images/social/features-writer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/franchise-adaptation-editor/,Franchise & Adaptation Editor | Kujo Publishing House | Kujo Agents,67,no,Extend approved primary work into durable editorial franchises and format-native derivatives without changing its claim boundary.,129,no,Franchise & Adaptation Editor,1,https://agents.kujolang.ai/agents/franchise-adaptation-editor/,en,Franchise & Adaptation Editor | Kujo Publishing House,Extend approved primary work into durable editorial franchises and format-native derivatives without changing its claim boundary.,https://agents.kujolang.ai/agents/franchise-adaptation-editor/,https://agents.kujolang.ai/assets/images/social/franchise-adaptation-editor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/frontend-developer/,Frontend Developer | Kujo Chain of Command | Kujo Agents,56,no,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",107,no,Frontend Developer,1,https://agents.kujolang.ai/agents/frontend-developer/,en,Frontend Developer | Kujo Chain of Command,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",https://agents.kujolang.ai/agents/frontend-developer/,https://agents.kujolang.ai/assets/images/social/frontend-developer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/general-commander/,General Commander | Kujo Chain of Command | Kujo Agents,55,no,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",133,no,General Commander,1,https://agents.kujolang.ai/agents/general-commander/,en,General Commander | Kujo Chain of Command,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",https://agents.kujolang.ai/agents/general-commander/,https://agents.kujolang.ai/assets/images/social/general-commander.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/,Agents | Kujo Agents,20,no,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",123,no,Agents,1,https://agents.kujolang.ai/agents/,en,Agents,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/assets/images/social/agents.jpg,summary_large_image,Robert DeVore,,200
after,https://agents.kujolang.ai/agents/indexation-analyst/,Indexation Analyst | Kujo WebOps | Kujo Agents,46,no,Distinguish local crawlability and indexability from provider-confirmed search-engine index state.,98,no,Indexation Analyst,1,https://agents.kujolang.ai/agents/indexation-analyst/,en,Indexation Analyst | Kujo WebOps,Distinguish local crawlability and indexability from provider-confirmed search-engine index state.,https://agents.kujolang.ai/agents/indexation-analyst/,https://agents.kujolang.ai/assets/images/social/indexation-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,Information Architecture Auditor | Kujo WebOps | Kujo Agents,60,no,"Review navigation, hierarchy, categories, tags, breadcrumbs, clusters, URLs, depth, discoverability, and orphaning.",115,no,Information Architecture Auditor,1,https://agents.kujolang.ai/agents/information-architecture-auditor/,en,Information Architecture Auditor | Kujo WebOps,"Review navigation, hierarchy, categories, tags, breadcrumbs, clusters, URLs, depth, discoverability, and orphaning.",https://agents.kujolang.ai/agents/information-architecture-auditor/,https://agents.kujolang.ai/assets/images/social/information-architecture-auditor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/integration-engineer/,Integration Engineer | Kujo Chain of Command | Kujo Agents,58,no,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",139,no,Integration Engineer,1,https://agents.kujolang.ai/agents/integration-engineer/,en,Integration Engineer | Kujo Chain of Command,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",https://agents.kujolang.ai/agents/integration-engineer/,https://agents.kujolang.ai/assets/images/social/integration-engineer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/internal-link-specialist/,Internal Link Specialist | Kujo WebOps | Kujo Agents,52,no,"Find and, under explicit ACT authority, apply contextually useful internal links supported by content relationships.",116,no,Internal Link Specialist,1,https://agents.kujolang.ai/agents/internal-link-specialist/,en,Internal Link Specialist | Kujo WebOps,"Find and, under explicit ACT authority, apply contextually useful internal links supported by content relationships.",https://agents.kujolang.ai/agents/internal-link-specialist/,https://agents.kujolang.ai/assets/images/social/internal-link-specialist.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Issue Hygiene Worker | Kujo Chain of Command | Kujo Agents,58,no,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",137,no,Issue Hygiene Worker,1,https://agents.kujolang.ai/agents/issue-hygiene-worker/,en,Issue Hygiene Worker | Kujo Chain of Command,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",https://agents.kujolang.ai/agents/issue-hygiene-worker/,https://agents.kujolang.ai/assets/images/social/issue-hygiene-worker.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,Keyword Opportunity Analyst | Kujo WebOps | Kujo Agents,55,no,"Identify query opportunities from measured site data, optional third-party estimates, public research, and current site coverage.",129,no,Keyword Opportunity Analyst,1,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,en,Keyword Opportunity Analyst | Kujo WebOps,"Identify query opportunities from measured site data, optional third-party estimates, public research, and current site coverage.",https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,https://agents.kujolang.ai/assets/images/social/keyword-opportunity-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/link-health-auditor/,Link Health Auditor | Kujo WebOps | Kujo Agents,47,no,"Analyze broken internal and outbound links, redirect chains, malformed destinations, and unexpected targets.",108,no,Link Health Auditor,1,https://agents.kujolang.ai/agents/link-health-auditor/,en,Link Health Auditor | Kujo WebOps,"Analyze broken internal and outbound links, redirect chains, malformed destinations, and unexpected targets.",https://agents.kujolang.ai/agents/link-health-auditor/,https://agents.kujolang.ai/assets/images/social/link-health-auditor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/lint-runner/,Lint Runner | Kujo Chain of Command | Kujo Agents,49,no,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",98,no,Lint Runner,1,https://agents.kujolang.ai/agents/lint-runner/,en,Lint Runner | Kujo Chain of Command,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",https://agents.kujolang.ai/agents/lint-runner/,https://agents.kujolang.ai/assets/images/social/lint-runner.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/managing-editor/,Managing Editor | Kujo Publishing House | Kujo Agents,53,no,"Operate the house queue, assignments, dependencies, handoffs, deadlines, review states, and human review surface.",113,no,Managing Editor,1,https://agents.kujolang.ai/agents/managing-editor/,en,Managing Editor | Kujo Publishing House,"Operate the house queue, assignments, dependencies, handoffs, deadlines, review states, and human review surface.",https://agents.kujolang.ai/agents/managing-editor/,https://agents.kujolang.ai/assets/images/social/managing-editor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/metadata-auditor/,Metadata Auditor | Kujo WebOps | Kujo Agents,44,no,"Audit titles, descriptions, canonicals, robots, Open Graph, social, article metadata, duplication, and missing fields.",118,no,Metadata Auditor,1,https://agents.kujolang.ai/agents/metadata-auditor/,en,Metadata Auditor | Kujo WebOps,"Audit titles, descriptions, canonicals, robots, Open Graph, social, article metadata, duplication, and missing fields.",https://agents.kujolang.ai/agents/metadata-auditor/,https://agents.kujolang.ai/assets/images/social/metadata-auditor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/newsletter-editor/,Newsletter Editor | Kujo Publishing House | Kujo Agents,55,no,"Shape newsletter issues, recurring sections, subject lines, preview text, pacing, calls to action, and email-platform-ready packages.",133,no,Newsletter Editor,1,https://agents.kujolang.ai/agents/newsletter-editor/,en,Newsletter Editor | Kujo Publishing House,"Shape newsletter issues, recurring sections, subject lines, preview text, pacing, calls to action, and email-platform-ready packages.",https://agents.kujolang.ai/agents/newsletter-editor/,https://agents.kujolang.ai/assets/images/social/newsletter-editor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/performance-analyst/,Performance Analyst | Kujo WebOps | Kujo Agents,47,no,Track lab and real-user field performance as distinct evidence classes and compare them longitudinally.,103,no,Performance Analyst,1,https://agents.kujolang.ai/agents/performance-analyst/,en,Performance Analyst | Kujo WebOps,Track lab and real-user field performance as distinct evidence classes and compare them longitudinally.,https://agents.kujolang.ai/agents/performance-analyst/,https://agents.kujolang.ai/assets/images/social/performance-analyst.jpg,summary_large_image,Kujo,,200
