phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://agents.kujolang.ai/404.html,templates/404.html,404,404,,false,"default index,follow",https://agents.kujolang.ai/,200,Page Not Found | Kujo Agents,28,Page not found,14,Agent not found,h1:Agent not found,44,en,,,Robert DeVore,False,WebSite;Organization,0,8,5,0,not fully probed,2,0,0,1,false,True,false,false,d95eb7ec99ed38890f8052608e8c40b823f7b8fef8edd6a5391ebeb2a20203ce,404 template lacks noindex
baseline,https://agents.kujolang.ai/agents/,templates/page-agents.html,listing,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/,200,Agents | Kujo Agents,20,A source-grounded library of specialized Kujo agent sets.,57,Agents,h1:Agents,673,en,,,Robert DeVore,True,CollectionPage;Organization,94,36,5,0,not fully probed,30,0,28,1,false,True,false,true,29663bc9307e8dbe61dfda16b4d631250c25a703136793844a1b78cd0f944885,28 images missing dimensions
baseline,https://agents.kujolang.ai/agents/integration-engineer/,content/agents/integration-engineer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/integration-engineer/,200,Integration Engineer | Kujo Agents,34,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",139,Integration Engineer,h1:Integration Engineer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,336,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,df4be61d0ad6b0d4b367f7f84aa368917d0f4e166a778727c61aca35b33a5e9f,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/issue-hygiene-worker/,content/agents/issue-hygiene-worker.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/issue-hygiene-worker/,200,Issue Hygiene Worker | Kujo Agents,34,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",137,Issue Hygiene Worker,h1:Issue Hygiene Worker | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,298,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,81cbb8ff8d78e7d3c2147cc9addd66a6ac7f75281bfdd4403e27f97c5ca081b1,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/lint-runner/,content/agents/lint-runner.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/lint-runner/,200,Lint Runner | Kujo Agents,25,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",98,Lint Runner,h1:Lint Runner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,256,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,218c2a94dd1f5daebaf9acb78a0d3d98c9002ba29361ed6d3d57764dd90e86c0,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/planner/,content/agents/planner.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/planner/,200,Planner | Kujo Agents,21,"Convert goals into milestones, tasks, sequencing, dependencies, acceptance criteria, and verification plans.",108,Planner,h1:Planner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,293,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,aa4b222511bcd7a32f93065bbdca1d6ae49d5b4083e2e7905d710aaab93506fb,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/product-strategist/,content/agents/product-strategist.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/product-strategist/,200,Product Strategist | Kujo Agents,32,"Own user value, roadmap fit, feature framing, adoption assumptions, and ICP alignment.",86,Product Strategist,h1:Product Strategist | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,373,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,a455ca1bb94bdd26b64a9cfb7702daec9b2df4d7b87c4229625a78cfff524c4e,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/qa-lead/,content/agents/qa-lead.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/qa-lead/,200,QA Lead | Kujo Agents,21,"Define test plans, evidence requirements, acceptance gates, and quality status for a change or release candidate.",113,QA Lead,h1:QA Lead | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,353,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,a59d4ed629f2c2a03a173f912185166e509e20839777286898f5f9c4bd1b7444,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/receipt-collector/,content/agents/receipt-collector.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/receipt-collector/,200,Receipt Collector | Kujo Agents,31,"Capture command output, logs, RunLedger receipts, CaseFile bundles, Watchdog telemetry references, and evidence paths for auditability.",135,Receipt Collector,h1:Receipt Collector | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,327,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,2b90b5a446f3794720bc6e455011b6063ae5638a84d57f18582487b011f7ace3,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/release-verifier/,content/agents/release-verifier.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/release-verifier/,200,Release Verifier | Kujo Agents,30,"Check release readiness, run or coordinate release gates, and report blockers before ship decisions.",100,Release Verifier,h1:Release Verifier | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,361,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,9de05b3125d958fdf18b639c801bc7a19085fb89be95e5723bd264a39f163d58,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/research-analyst/,content/agents/research-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/research-analyst/,200,Research Analyst | Kujo Agents,30,"Gather repo, API, dependency, workflow, or technical context and separate confirmed facts from inference.",105,Research Analyst,h1:Research Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,366,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,c406f0f345992ff70cdbd8bc10a3ca3d063e7afb3c7fb718b68a26b1f87a2310,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/risk-officer/,content/agents/risk-officer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/risk-officer/,200,Risk Officer | Kujo Agents,26,"Identify risk, security concerns, migration issues, release blockers, scope creep, and evidence gaps before or during work.",123,Risk Officer,h1:Risk Officer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,361,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,4c63437a9c3c997b0db1067f5f4dced9a350138134c481b9b44696537b53e1e9,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/routine-worker/,content/agents/routine-worker.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/routine-worker/,200,Routine Worker | Kujo Agents,28,Run explicitly assigned local commands or scripts and report exact results without interpretation beyond simple status.,119,Routine Worker,h1:Routine Worker | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,321,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,87adada33ce40aee51f4561ad32422cb3933e006debb81cba81218edacf1618a,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/security-reviewer/,content/agents/security-reviewer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/security-reviewer/,200,Security Reviewer | Kujo Agents,31,"Review secrets, auth, host effects, path boundaries, network exposure, unsafe commands, dependency risk, and sensitive artifacts.",129,Security Reviewer,h1:Security Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,366,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,ec7363c7d6a1c72933175da3a1de0b0061a3adeae89fb5c121ffceaffda6a923,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/sitrep-agent/,content/agents/sitrep-agent.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/sitrep-agent/,200,SITREP Agent | Kujo Agents,26,"Produce short status reports, current-state summaries, and handoff snapshots from available evidence.",101,SITREP Agent,h1:SITREP Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,297,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,736ae220b11495e602e4fc10caf8095f481adace4d1f26da169d1342c8bd4c76,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/spec-writer/,content/agents/spec-writer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/spec-writer/,200,Spec Writer | Kujo Agents,25,"Create and maintain task contracts with scope, acceptance criteria, eval requirements, risks, dependencies, and review expectations.",132,Spec Writer,h1:Spec Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,334,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,02057e83aee47d417ddf887094bd2be5c5028f4ee24aca5d0e463d6bd50f14fa,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/systems-architect/,content/agents/systems-architect.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/systems-architect/,200,Systems Architect | Kujo Agents,31,"Own architecture, module boundaries, platform decisions, runtime tradeoffs, and long-term technical coherence.",110,Systems Architect,h1:Systems Architect | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,361,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,893d29fdd9bd77f72721fe8adfb2eced0b8d84e2d4d7f604eb0ec7ac812ee7bd,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/test-runner/,content/agents/test-runner.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/test-runner/,200,Test Runner | Kujo Agents,25,"Run explicit test, eval, or smoke commands and report exact results.",68,Test Runner,h1:Test Runner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,273,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,a3643ceb6ba43d13cff2edb50e59dc44864b6b5f529bc471b540006215bc38f7,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/tooling-developer/,content/agents/tooling-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/tooling-developer/,200,Tooling Developer | Kujo Agents,31,"Build or maintain CLI tools, scripts, local automation, developer workflows, and KUJO tool integrations.",104,Tooling Developer,h1:Tooling Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,347,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,0130fcaa2b81f0f9a2da19f9c787d930b72af9c78894e6063d67c335fccdfe50,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/triage-agent/,content/agents/triage-agent.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/triage-agent/,200,Triage Agent | Kujo Agents,26,"Review flagged wrong outputs, stopped workflow states, failed handoffs, and abnormal results so the chain can decide whether to resume, reroute, require human review, or coordinate the immediate next response.",209,Triage Agent,h1:Triage Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,745,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,b00315f3ca27bef65bbb608ce32b1dcdc2acdf8c8ae48dd23b5d73908fbe0796,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/visual-qa-agent/,content/agents/visual-qa-agent.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/visual-qa-agent/,200,Visual QA Agent | Kujo Agents,29,"Produce deterministic browser, layout, accessibility, console, network, and visual evidence for user-facing surfaces.",117,Visual QA Agent,h1:Visual QA Agent | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,369,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,9e9dbdc8a3d5f4c657d17b7dc06fd46884c9753259dffe173cae68691048dc30,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/webops/,templates/page-agent-set.html,listing,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/webops/,200,WebOps Agents | Kujo Agents,27,Web operations agents are joining the directory soon.,53,WebOps,h1:WebOps,69,en,,,Robert DeVore,True,CollectionPage;Organization,68,9,5,0,not fully probed,2,0,0,1,false,True,false,false,39477f2804424bfaa3bf200ebeb0b864d49facbf378291ca9d4521f2cca4ae0a,
baseline,https://agents.kujolang.ai/,templates/page-home.html,home,200,200,true,"default index,follow",https://agents.kujolang.ai/,200,Kujo Agents,11,A source-grounded library of specialized Kujo agent sets.,57,Kujo Agents,h1:Kujo Agents | h2:Chain of Command | h2:WebOps,708,en,,,Robert DeVore,False,WebSite;Organization,32,38,6,0,not fully probed,31,0,28,0,false,True,false,true,84e3d1f7a646d52f9890f00d035146ea2845c103289834e82e92f261f963ba90,28 images missing dimensions
