phase,source_url,image_url,alt,width,height,loading,format,bytes,exists,issues
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for QA Lead,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Triage Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Visual QA Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Release Verifier,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Security Reviewer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Documentation Writer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Context Packager,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for SITREP Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Routine Worker,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Test Runner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Lint Runner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Issue Hygiene Worker,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Dependency Scanner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Receipt Collector,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/chief-of-staff/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/chief-of-staff/,https://agents.kujolang.ai/images/chief-of-staff-2e6f76b93f30.webp,Featured image for Chief Of Staff,640,640,lazy,webp,13286,True,
after,https://agents.kujolang.ai/agents/chief-of-staff/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/code-reviewer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/code-reviewer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Code Reviewer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/code-reviewer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/context-packager/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/context-packager/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Context Packager,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/context-packager/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/core-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/core-developer/,https://agents.kujolang.ai/images/core-developer-422309ea814e.webp,Featured image for Core Developer,640,640,lazy,webp,17474,True,
after,https://agents.kujolang.ai/agents/core-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/dependency-scanner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/dependency-scanner/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Dependency Scanner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/dependency-scanner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/documentation-writer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/documentation-writer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Documentation Writer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/documentation-writer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/frontend-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/frontend-developer/,https://agents.kujolang.ai/images/frontend-developer-38b0ab2f6a78.webp,Featured image for Frontend Developer,640,640,lazy,webp,16882,True,
after,https://agents.kujolang.ai/agents/frontend-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/general-commander/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/general-commander/,https://agents.kujolang.ai/images/general-commander-b873a4f8d54c.webp,Featured image for General Commander,640,640,lazy,webp,25354,True,
after,https://agents.kujolang.ai/agents/general-commander/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/general-commander-b873a4f8d54c.webp,Agent image for General Commander,640,640,lazy,webp,25354,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/chief-of-staff-2e6f76b93f30.webp,Agent image for Chief Of Staff,640,640,lazy,webp,13286,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/systems-architect-87cc508a9cbe.webp,Agent image for Systems Architect,640,640,lazy,webp,26456,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/product-strategist-d1ec402a746c.webp,Agent image for Product Strategist,640,640,lazy,webp,12490,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/planner-e871338c4b36.webp,Agent image for Planner,640,640,lazy,webp,16788,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/spec-writer-b285befd1d57.webp,Agent image for Spec Writer,640,640,lazy,webp,24188,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/research-analyst-857221740bc4.webp,Agent image for Research Analyst,640,640,lazy,webp,16000,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/risk-officer-ebf348e4bd3d.webp,Agent image for Risk Officer,640,640,lazy,webp,19120,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/core-developer-422309ea814e.webp,Agent image for Core Developer,640,640,lazy,webp,17474,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/tooling-developer-5dfd9abd0490.webp,Agent image for Tooling Developer,640,640,lazy,webp,19076,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/frontend-developer-38b0ab2f6a78.webp,Agent image for Frontend Developer,640,640,lazy,webp,16882,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/backend-developer-daca76a2cd95.webp,Agent image for Backend Developer,640,640,lazy,webp,15326,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Integration Engineer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Code Reviewer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for QA Lead,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Triage Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Visual QA Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Release Verifier,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Security Reviewer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Documentation Writer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Context Packager,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for SITREP Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Routine Worker,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Test Runner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Lint Runner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Issue Hygiene Worker,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Dependency Scanner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Receipt Collector,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/integration-engineer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/integration-engineer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Integration Engineer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/integration-engineer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Issue Hygiene Worker,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/lint-runner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/lint-runner/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Lint Runner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/lint-runner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/planner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/planner/,https://agents.kujolang.ai/images/planner-e871338c4b36.webp,Featured image for Planner,640,640,lazy,webp,16788,True,
after,https://agents.kujolang.ai/agents/planner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/product-strategist/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/product-strategist/,https://agents.kujolang.ai/images/product-strategist-d1ec402a746c.webp,Featured image for Product Strategist,640,640,lazy,webp,12490,True,
after,https://agents.kujolang.ai/agents/product-strategist/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/qa-lead/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/qa-lead/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for QA Lead,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/qa-lead/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/receipt-collector/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/receipt-collector/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Receipt Collector,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/receipt-collector/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/release-verifier/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/release-verifier/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Release Verifier,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/release-verifier/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/research-analyst/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/research-analyst/,https://agents.kujolang.ai/images/research-analyst-857221740bc4.webp,Featured image for Research Analyst,640,640,lazy,webp,16000,True,
after,https://agents.kujolang.ai/agents/research-analyst/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/risk-officer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/risk-officer/,https://agents.kujolang.ai/images/risk-officer-ebf348e4bd3d.webp,Featured image for Risk Officer,640,640,lazy,webp,19120,True,
after,https://agents.kujolang.ai/agents/risk-officer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/routine-worker/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/routine-worker/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Routine Worker,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/routine-worker/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/security-reviewer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/security-reviewer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Security Reviewer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/security-reviewer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/sitrep-agent/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/sitrep-agent/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for SITREP Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/sitrep-agent/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/spec-writer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/spec-writer/,https://agents.kujolang.ai/images/spec-writer-b285befd1d57.webp,Featured image for Spec Writer,640,640,lazy,webp,24188,True,
after,https://agents.kujolang.ai/agents/spec-writer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/systems-architect/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/systems-architect/,https://agents.kujolang.ai/images/systems-architect-87cc508a9cbe.webp,Featured image for Systems Architect,640,640,lazy,webp,26456,True,
after,https://agents.kujolang.ai/agents/systems-architect/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/test-runner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/test-runner/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Test Runner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/test-runner/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/tooling-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/tooling-developer/,https://agents.kujolang.ai/images/tooling-developer-5dfd9abd0490.webp,Featured image for Tooling Developer,640,640,lazy,webp,19076,True,
after,https://agents.kujolang.ai/agents/tooling-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/triage-agent/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/triage-agent/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Triage Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/triage-agent/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/visual-qa-agent/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/visual-qa-agent/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Featured image for Visual QA Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/visual-qa-agent/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/webops/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/webops/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/assets/images/agent-hero-background.webp,,1672,941,eager/default,webp,277112,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/general-commander-b873a4f8d54c.webp,Agent image for General Commander,640,640,lazy,webp,25354,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/chief-of-staff-2e6f76b93f30.webp,Agent image for Chief Of Staff,640,640,lazy,webp,13286,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/systems-architect-87cc508a9cbe.webp,Agent image for Systems Architect,640,640,lazy,webp,26456,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/product-strategist-d1ec402a746c.webp,Agent image for Product Strategist,640,640,lazy,webp,12490,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/planner-e871338c4b36.webp,Agent image for Planner,640,640,lazy,webp,16788,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/spec-writer-b285befd1d57.webp,Agent image for Spec Writer,640,640,lazy,webp,24188,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/research-analyst-857221740bc4.webp,Agent image for Research Analyst,640,640,lazy,webp,16000,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/risk-officer-ebf348e4bd3d.webp,Agent image for Risk Officer,640,640,lazy,webp,19120,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/core-developer-422309ea814e.webp,Agent image for Core Developer,640,640,lazy,webp,17474,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/tooling-developer-5dfd9abd0490.webp,Agent image for Tooling Developer,640,640,lazy,webp,19076,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/frontend-developer-38b0ab2f6a78.webp,Agent image for Frontend Developer,640,640,lazy,webp,16882,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/backend-developer-daca76a2cd95.webp,Agent image for Backend Developer,640,640,lazy,webp,15326,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Integration Engineer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Code Reviewer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for QA Lead,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Triage Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Visual QA Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Release Verifier,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Security Reviewer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Documentation Writer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Context Packager,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for SITREP Agent,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Routine Worker,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Test Runner,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Lint Runner,640,640,lazy,svg,895,True,
