phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/agents/general-commander/,Publish the operating contract for the General Commander agent role.,General Commander agent,Informational and implementation-oriented,General Commander AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a General Commander agent?; What inputs and outputs does General Commander require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/,Help readers browse and compare source-grounded agent roles.,Agents,Informational and navigational,Agents agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which agents role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/integration-engineer/,Publish the operating contract for the Integration Engineer agent role.,Integration Engineer agent,Informational and implementation-oriented,Integration Engineer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Integration Engineer agent?; What inputs and outputs does Integration Engineer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Publish the operating contract for the Issue Hygiene Worker agent role.,Issue Hygiene Worker agent,Informational and implementation-oriented,Issue Hygiene Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Issue Hygiene Worker agent?; What inputs and outputs does Issue Hygiene Worker require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/lint-runner/,Publish the operating contract for the Lint Runner agent role.,Lint Runner agent,Informational and implementation-oriented,Lint Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Lint Runner agent?; What inputs and outputs does Lint Runner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/planner/,Publish the operating contract for the Planner agent role.,Planner agent,Informational and implementation-oriented,Planner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Planner agent?; What inputs and outputs does Planner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/product-strategist/,Publish the operating contract for the Product Strategist agent role.,Product Strategist agent,Informational and implementation-oriented,Product Strategist AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Product Strategist agent?; What inputs and outputs does Product Strategist require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/qa-lead/,Publish the operating contract for the QA Lead agent role.,QA Lead agent,Informational and implementation-oriented,QA Lead AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a QA Lead agent?; What inputs and outputs does QA Lead require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/receipt-collector/,Publish the operating contract for the Receipt Collector agent role.,Receipt Collector agent,Informational and implementation-oriented,Receipt Collector AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Receipt Collector agent?; What inputs and outputs does Receipt Collector require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/release-verifier/,Publish the operating contract for the Release Verifier agent role.,Release Verifier agent,Informational and implementation-oriented,Release Verifier AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Release Verifier agent?; What inputs and outputs does Release Verifier require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/research-analyst/,Publish the operating contract for the Research Analyst agent role.,Research Analyst agent,Informational and implementation-oriented,Research Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Research Analyst agent?; What inputs and outputs does Research Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/risk-officer/,Publish the operating contract for the Risk Officer agent role.,Risk Officer agent,Informational and implementation-oriented,Risk Officer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Risk Officer agent?; What inputs and outputs does Risk Officer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/routine-worker/,Publish the operating contract for the Routine Worker agent role.,Routine Worker agent,Informational and implementation-oriented,Routine Worker AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Routine Worker agent?; What inputs and outputs does Routine Worker require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/security-reviewer/,Publish the operating contract for the Security Reviewer agent role.,Security Reviewer agent,Informational and implementation-oriented,Security Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Security Reviewer agent?; What inputs and outputs does Security Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/sitrep-agent/,Publish the operating contract for the SITREP Agent agent role.,SITREP Agent agent,Informational and implementation-oriented,SITREP Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a SITREP Agent agent?; What inputs and outputs does SITREP Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/spec-writer/,Publish the operating contract for the Spec Writer agent role.,Spec Writer agent,Informational and implementation-oriented,Spec Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Spec Writer agent?; What inputs and outputs does Spec Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/systems-architect/,Publish the operating contract for the Systems Architect agent role.,Systems Architect agent,Informational and implementation-oriented,Systems Architect AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Systems Architect agent?; What inputs and outputs does Systems Architect require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/test-runner/,Publish the operating contract for the Test Runner agent role.,Test Runner agent,Informational and implementation-oriented,Test Runner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Test Runner agent?; What inputs and outputs does Test Runner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/tooling-developer/,Publish the operating contract for the Tooling Developer agent role.,Tooling Developer agent,Informational and implementation-oriented,Tooling Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Tooling Developer agent?; What inputs and outputs does Tooling Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/triage-agent/,Publish the operating contract for the Triage Agent agent role.,Triage Agent agent,Informational and implementation-oriented,Triage Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Triage Agent agent?; What inputs and outputs does Triage Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/visual-qa-agent/,Publish the operating contract for the Visual QA Agent agent role.,Visual QA Agent agent,Informational and implementation-oriented,Visual QA Agent AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Visual QA Agent agent?; What inputs and outputs does Visual QA Agent require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/webops/,Preview a planned WebOps agent set.,Kujo WebOps agents,Navigational preview,WebOps AI agents,web operations; monitoring; deployment,Kujo; AI agents; agent contracts; multi-agent workflows,Which WebOps agents are available?,,The page contains only generic placeholders and no usable agent contracts.,Keep noindex until real source-grounded WebOps contracts replace placeholders.
after,https://agents.kujolang.ai/,Introduce the Kujo Agents library and route readers to agent sets and source contracts.,Kujo Agents,Branded informational and navigational,Kujo AI agent library,AI agent contracts; chain of command; specialized agent roles,Kujo; AI agents; agent contracts; multi-agent workflows,What is Kujo Agents?; Which specialist agent should I use?,,No adoption examples or measured outcomes are published.,Keep the overview concise; add real adoption examples only when evidence exists.
